      28,   0.245559,   0.931392,   0.041079
      45,   0.246170,   0.927852,   0.039736
      63,   0.247269,   0.922359,   0.042666
      78,   0.249832,   0.916499,   0.043277
      96,   0.250198,   0.913691,   0.041079
     112,   0.250076,   0.912592,   0.045474
     128,   0.256791,   0.912104,   0.048526
     145,   0.260697,   0.915522,   0.053165
     162,   0.264970,   0.940426,   0.069035
     179,   0.259110,   0.949948,   0.076360
     195,   0.258988,   0.946652,   0.067692
     213,   0.262284,   0.976561,   0.083318
     228,   0.253250,   0.960813,   0.090154
     246,   0.258011,   0.949582,   0.077825
     262,   0.276689,   0.979613,   0.078679
     278,   0.262528,   0.980712,   0.084051
     295,   0.259843,   0.987914,   0.081121
     312,   0.245437,   1.015260,   0.095648
     328,   0.224318,   1.015992,   0.091864
     346,   0.229079,   1.032106,   0.090276
     361,   0.232985,   1.020997,   0.110541
     378,   0.248733,   1.027467,   0.115180
     396,   0.256668,   0.968138,   0.094183
     412,   0.266557,   0.974120,   0.088079
     429,   0.259476,   0.999268,   0.097845
     446,   0.253861,   1.011353,   0.099799
     461,   0.246536,   1.022707,   0.095648
     479,   0.208448,   0.981688,   0.080388
     495,   0.209180,   0.945675,   0.060245
     512,   0.208936,   0.972288,   0.072331
     529,   0.222487,   1.003418,   0.083196
     545,   0.221632,   1.005738,   0.081243
     563,   0.233840,   1.030031,   0.090521
     579,   0.227370,   0.992553,   0.083806
     596,   0.220900,   0.978514,   0.065861
     612,   0.211988,   0.980468,   0.063542
     629,   0.215162,   0.997436,   0.069157
     645,   0.214308,   0.987304,   0.073308
     663,   0.210767,   1.000854,   0.072697
     678,   0.190136,   0.985839,   0.047061
     695,   0.187695,   0.981200,   0.048160
     712,   0.195385,   1.012330,   0.062809
     729,   0.197339,   0.982787,   0.065006
     745,   0.207593,   0.958982,   0.066960
     763,   0.235793,   0.961179,   0.084783
     778,   0.249222,   0.989379,   0.097967
     796,   0.222487,   0.974364,   0.098456
     812,   0.215528,   0.963499,   0.084783
     829,   0.195019,   0.988036,   0.078679
     846,   0.190747,   1.008790,   0.081731
     864,   0.193676,   1.020387,   0.098700
     879,   0.181591,   1.009400,   0.102728
     895,   0.178783,   0.993896,   0.097601
     912,   0.177562,   1.023317,   0.093451
     930,   0.181713,   1.031862,   0.096136
     945,   0.181347,   1.026003,   0.102728
     963,   0.188305,   1.015626,   0.100653
     979,   0.188671,   0.989135,   0.097357
     996,   0.190014,   0.972777,   0.086126
    1013,   0.188671,   0.926387,   0.089300
    1028,   0.191601,   0.924312,   0.091009
    1047,   0.204663,   0.924312,   0.091009
    1063,   0.208326,   0.927852,   0.117622
    1080,   0.216261,   0.914301,   0.122383
    1095,   0.230666,   0.905023,   0.121406
    1113,   0.229567,   0.947384,   0.126900
    1129,   0.212110,   0.970823,   0.127510
    1146,   0.178539,   0.993408,   0.112983
    1164,   0.117378,   1.032595,   0.107612
    1179,   0.119697,   1.036867,   0.107734
    1196,   0.123482,   1.040286,   0.107489
    1213,   0.124458,   1.083990,   0.120308
    1230,   0.135934,   1.085332,   0.127022
    1247,   0.148630,   1.104621,   0.152048
    1263,   0.139840,   1.057010,   0.155466
    1280,   0.149240,   1.029054,   0.141183
    1296,   0.198682,   1.053226,   0.147775
    1313,   0.211378,   1.062870,   0.153269
    1329,   0.213819,   1.047610,   0.158640
    1346,   0.188915,   1.007203,   0.151193
    1363,   0.179393,   0.976683,   0.140084
    1379,   0.193310,   0.916499,   0.118599
    1396,   0.228224,   0.930538,   0.119087
    1414,   0.251175,   0.925166,   0.123360
    1429,   0.254593,   0.907587,   0.112861
    1446,   0.235549,   0.885247,   0.113105
    1463,   0.193920,   0.835073,   0.110175
    1480,   0.137276,   0.802722,   0.061832
    1496,   0.102973,   0.911005,   0.074284
    1513,   0.100043,   0.942135,   0.074895
    1530,   0.103339,   0.951779,   0.070622
    1547,   0.120063,   0.969603,   0.050967
    1563,   0.123604,   0.853873,  -0.000671
    1580,   0.113960,   0.858024,   0.029726
    1597,   0.135079,   0.916255,   0.029726
    1613,   0.217359,   0.953122,   0.109199
    1630,   0.253983,   0.923213,   0.114326
    1647,  -0.236526,  -0.227248,   0.281206
    1663,   0.025087,  -0.010438,   0.005310
