      40,  -0.543307,   0.842031,   0.000061
      58,  -0.543307,   0.838125,   0.000061
      73,  -0.545016,   0.835561,   0.000061
      91,  -0.545993,   0.838369,   0.000061
     107,  -0.546603,   0.835317,   0.000061
     124,  -0.548556,   0.833364,   0.000061
     141,  -0.545016,   0.832143,   0.000061
     157,  -0.545260,   0.830068,   0.000061
     174,  -0.546359,   0.833486,   0.000061
     190,  -0.543917,   0.829824,   0.000061
     208,  -0.543673,   0.831655,   0.000061
     224,  -0.542086,   0.826283,   0.000061
     242,  -0.545627,   0.827870,   0.000061
     257,  -0.543185,   0.830800,   0.000061
     273,  -0.539645,   0.828481,   0.000061
     288,  -0.537081,   0.832753,   0.000061
     308,  -0.537447,   0.828725,   0.000061
     323,  -0.535616,   0.831289,   0.000061
     341,  -0.536959,   0.831167,   0.000061
     357,  -0.537447,   0.833120,   0.000061
     374,  -0.536105,   0.834585,   0.000061
     390,  -0.538790,   0.836294,   0.000061
     408,  -0.539034,   0.832998,   0.000061
     426,  -0.547091,   0.836538,   0.000061
     443,  -0.545749,   0.839712,   0.000061
     458,  -0.542697,   0.846182,   0.000061
     476,  -0.542453,   0.845694,   0.000061
     491,  -0.547214,   0.847403,   0.000061
     509,  -0.547458,   0.845083,   0.000061
     524,  -0.545382,   0.843130,   0.000061
     541,  -0.552707,   0.835073,   0.000061
     557,  -0.549899,   0.836416,   0.000061
     575,  -0.544650,   0.834707,   0.000061
     591,  -0.538912,   0.835195,   0.000061
     610,  -0.527193,   0.831289,   0.000061
     626,  -0.526460,   0.830434,   0.000061
     641,  -0.526705,   0.838491,   0.000061
     657,  -0.523286,   0.845816,   0.000061
     674,  -0.524629,   0.842886,   0.000061
     690,  -0.529268,   0.840078,   0.000061
     709,  -0.541110,   0.838735,   0.000061
     726,  -0.541232,   0.834707,   0.000061
     742,  -0.544284,   0.834829,   0.000061
     757,  -0.548434,   0.847891,   0.000061
     772,  -0.543063,   0.855094,   0.000061
     791,  -0.545749,   0.858268,   0.000061
     807,  -0.550266,   0.851920,   0.000061
     822,  -0.550143,   0.845327,   0.000061
     842,  -0.542331,   0.845450,   0.000061
